Course Name,Description,Skills,Majors,Careers
ADA4M - Dramatic Arts,"This course requires students to experiment individually and collaboratively with forms and conventions of both drama and theatre from various cultures and time periods. Students will interpret dramatic literature and other texts and media sources while learning about various theories of directing and acting. Students will examine the significance of dramatic arts in various cultures, and will analyse how the knowledge and skills developed in drama are related to their personal skills, social awareness, and goals beyond secondary school.","Creative Thinking, Collaboration, Critical Analysis, Communication, Cultural Awareness, Social Awareness, Leadership","Drama, Theatre Studies, Acting and Performance Arts, Directing and Cinematic Arts, Cultural Studies, Communication Studies, Education (Arts Education), Media Studies","Actor/Performer, Director (Theatre or Film), Drama Teacher/Arts Educator, Playwright, Theatre Critic, Cultural Program Coordinator, Art Therapist, Media and Communications Specialist"
ASM4M - Media Arts,"This course emphasizes the refinement of media arts skills through the creation of a thematic body of work by applying traditional and emerging technologies, tools, and techniques such as multimedia, computer animation, installation art, and performance art. Students will develop works that express their views on contemporary issues and will create portfolios suitable for use in either career or postsecondary education applications. Students will critically analyse the role of media artists in shaping audience perceptions of identity, culture, and community values.","Media Arts, Multimedia Design, Computer Animation, Installation Art, Performance Art, Portfolio Development, Critical Analysis, Technology Application, Creative Expression, Cultural Awareness","Media Arts, Visual Arts, Animation, Digital Arts, Graphic Design, Art History, Communication Studies, Cultural Studies, Fine Arts","Media Artist, Animator, Multimedia Designer, Graphic Designer, Installation Artist, Performance Artist, Art Director, Cultural Analyst, Educator (Media Arts), Content Creator"
AMI4M / AMK4M / AMR4M / AMU4M - Music,"This course enables students to enhance their musical literacy through the creation, appreciation, analysis, and performance of music. Students will perform traditional, commercial, and art music, and will respond with insight to live and recorded performances. Students will enhance their understanding of the function of music in society and the impact of music on themselves and various communities and cultures. Students will analyse how to apply skills developed in music to their life and careers.","Musical Literacy, Music Creation, Performance, Music Appreciation, Analytical Thinking, Insightful Response to Music, Social Awareness, Cultural Awareness, Self-Reflection, Skill Application","Music, Music Performance, Music Composition, Music Education, Music Therapy, Music History, Music Technology, Arts Management, Cultural Studies","Musician, Composer, Music Teacher, Music Therapist, Music Producer, Sound Engineer, Arts Administrator, Cultural Program Coordinator, Music Critic, Performer"
ATC4M - Dance,"This course emphasizes the development of students technical proficiency, fluency in the language of movement in dance genres from around the world, and understanding of dance science. Students will explain the social, cultural, and historical contexts of dance; apply the creative process through the art of dance in a variety of ways; and exhibit an understanding of the purpose and possibilities of continuing engagement in the arts as a lifelong learner.","Movement Fluency, Dance Technique, Cultural Awareness, Dance Science, Creative Process, Artistic Expression, Lifelong Learning, Social Awareness, Historical Context","Dance, Dance Education, Performing Arts, Dance Therapy, Kinesiology, Movement Studies, Cultural Studies, Anthropology, Theatre Arts","Dancer, Dance Teacher, Choreographer, Dance Therapist, Kinesiologist, Movement Specialist, Dance Critic, Arts Educator, Performance Artist, Cultural Program Coordinator"
AVI3M / AVI4M - Visual Arts,"This course focuses on enabling students to refine their use of the creative process when creating and presenting two- and three-dimensional art works using a variety of traditional and emerging media and technologies. Students will use the critical analysis process to deconstruct art works and explore connections between art and society. The studio program enables students to explore a range of materials, processes, and techniques that can be applied in their own art production. Students will also make connections between various works of art in personal, contemporary, historical, and cultural contexts.","Creative Process, Artistic Expression, Technical Proficiency, Critical Analysis, Deconstruction, Media and Technology Application, Studio Art Production, Material Exploration, Process Exploration, Cultural Awareness, Historical Context, Personal Reflection","Fine Arts, Visual Arts, Art History, Graphic Design, Digital Arts, Art Education, Cultural Studies, Contemporary Art, Sculpture, Photography, Media Arts","Artist, Art Teacher, Art Curator, Art Critic, Graphic Designer, Illustrator, Sculptor, Photographer, Art Director, Digital Media Artist, Museum Educator"
AWD3M / AWD4M - Graphic Design,"Students will study in depth how the elements and principles of design are applied in various art forms. This course will vary from school to school according to the facilities, materials and staffing.","Design Principles, Artistic Composition, Creative Problem Solving, Technical Proficiency, Visual Communication, Material Exploration, Process Exploration","Graphic Design, Visual Arts, Industrial Design, Architecture, Fashion Design, Fine Arts, Interior Design, Digital Arts, Media Arts","Graphic Designer, Industrial Designer, Architect, Fashion Designer, Art Director, Interior Designer, Fine Artist, Digital Media Artist, Illustrator, UI/UX Designer"
AWQ3M / AWQ4M - Photography,Students will learn about traditional photography as an expressive art form. The history of art as it relates to photography will be included and the role of digital imaging and manipulation may be included in the studio projects.,"Photography, Artistic Expression, Digital Imaging, Image Manipulation, Visual Storytelling, Historical Analysis, Technical Photography, Studio Practice","Photography, Visual Arts, Digital Media, Media Arts, Fine Arts, Art History, Communication Arts, Graphic Design","Photographer, Digital Imaging Specialist, Photo Editor, Art Director, Visual Artist, Photography Teacher, Media Production Specialist, Graphic Designer, Photojournalist"
BAF3M / BAT4M - Financial Accounting Principles,"This course introduces students to advanced accounting principles that will prepare them for postsecondary studies in business. Students will learn about financial statements for various forms of business ownership and how those statements are interpreted in making business decisions.This course expands students knowledge of sources of financing, further develops accounting methods for assets, and introduces accounting for partnerships and corporations","Advanced Accounting, Financial Statement Analysis, Business Decision Making, Accounting for Business Ownership, Financial Management, Asset Management, Accounting Methods, Financing Sources, Partnership and Corporate Accounting","Accounting, Business Administration, Finance, Economics, Business Management, Entrepreneurship, International Business, Taxation, Business Analytics","Accountant, Financial Analyst, Business Consultant, Tax Specialist, Auditor, Corporate Finance Specialist, Business Manager, Financial Planner, Entrepreneur"
BBB4M - International Business Fundamentals,"This course provides an overview of the importance of international business and trade in the global economy and explores the factors that influence success in international markets. Students will learn about the techniques and strategies associated with marketing, distribution, and managing international business effectively. This course prepares students for postsecondary programs in business, including international business, marketing, and management.","International Business, Global Trade, Marketing Strategies, Distribution Management, Business Strategy, Cross-Cultural Communication, Economic Analysis, International Market Analysis, Leadership, Negotiation","International Business, Marketing, Business Administration, Economics, International Relations, Business Management, Global Studies, Supply Chain Management","International Business Consultant, Marketing Manager, Supply Chain Manager, International Trade Specialist, Export/Import Manager, Global Business Analyst, Brand Manager, Business Development Manager"
BOH4M - Business Leadership: Management Fundamentals,"This course focuses on the development of leadership skills used in managing a successful business. Students will analyse the role of a leader in business, with a focus on decision making, management of group dynamics,workplace stress and conflict, motivation of employees, and planning. Effective business communication skills, ethics, and social responsibility are also emphasized.","Leadership, Decision Making, Group Dynamics Management, Conflict Resolution, Stress Management, Employee Motivation, Business Communication, Strategic Planning, Ethics, Social Responsibility","Business Administration, Management, Organizational Leadership, Human Resources, Marketing, Business Communication, Entrepreneurship, Business Ethics, Sociology","Business Manager, Leadership Consultant, HR Manager, Operations Manager, Corporate Trainer, Organizational Development Specialist, Business Strategist, Employee Relations Specialist"
